분류,주성분코드,제품수,업체수,예시제품,주성분명
110,699601BIJ,2,1,"아조비프리필드시린지주(프레마네주맙,유전자재조합)_(0.225g/1.5mL)",fremanezumab
111,141330CLQ,1,1,슈프레인액(데스플루란)_(240mL/240mL),desflurane
111,157030BIJ,1,1,에토미데이트리푸로주_(20mg/10mL),etomidate
111,178030CLQ,2,2,아이프란액(이소플루란)_(100mL/100mL),isoflurane
111,179530BIJ,1,1,한올케타민염산염주_(0.11536g/2mL),ketamine hydrochloride (as ketamine)
111,179531BIJ,1,1,케토민주10밀리그람/밀리리터(염산케타민)_(0.2307g/20mL),ketamine hydrochloride (as ketamine)
111,179532BIJ,1,1,휴온스케타민염산염주사50밀리그램/밀리리터(앰플)_(0.2884g/5mL),ketamine hydrochloride (as ketamine)
111,179533BIJ,1,1,"휴온스케타민염산염주사(수출명:KESIAInj.,KWANGMYUNGKESIA.Inj.)_(0.5768g/10mL)",ketamine hydrochloride (as ketamine)
111,219830BIJ,1,1,아네폴주사(프로포폴)_(50mg/5mL),propofol
111,219831BIJ,2,2,아네폴주사(프로포폴)_(80mg/8mL),propofol
111,219833BIJ,3,3,프리폴-엠시티주(프로포폴)_(0.12g/12mL),propofol
111,219834BIJ,3,2,프레조폴엠시티1%주(프로포폴)(앰플)_(0.15g/15mL),propofol
111,219835BIJ,6,5,비.브라운프로포폴-리푸로1%주(앰플)_(0.2g/20mL),propofol
111,219836BIJ,4,4,비.브라운 프로포폴-리푸로1%주_(0.5g/50mL),propofol
111,219838BIJ,2,2,프레조폴엠시티2%주(프로포폴)(바이알)_(1g/50mL),propofol
111,227330CLQ,4,4,세보프란흡입액(세보플루란)_(250mL/250mL),sevoflurane
111,482201BIJ,1,1,펜토탈소디움주사0.25그램(치오펜탈나트륨)_(0.265g/1병),thiopental sodium
111,482202BIJ,1,1,펜토탈소디움0.5그램주(치오펜탈나트륨)_(0.53g/1병),thiopental sodium
111,572801CSI,1,1,아산화질소,Nitrous oxide
112,130830ASY,1,1,포크랄시럽(포수클로랄)_(9.5g/95mL),chloral hydrate
112,130833ASY,1,1,포크랄시럽(포수클로랄)_(0.5g/5mL),chloral hydrate
112,149203ATB,3,3,명세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),doxepin hydrochloride (as doxepin)
112,149204ATB,3,3,명세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),doxepin hydrochloride (as doxepin)
112,160601ATB,2,2,루나팜정(플루니트라제팜)_(1mg/1정),flunitrazepam
112,161801ATB,1,1,달마돔정(플루라제팜염산염)_(15mg/1정),flurazepam hydrochloride
112,195230BIJ,2,2,바스캄주(미다졸람)_(3mg/3mL),midazolam
112,195231BIJ,4,4,미다컴주5밀리그람(미다졸람)_(5mg/5mL),midazolam
112,195232BIJ,3,3,바스캄주15밀리그람(미다졸람),midazolam
112,210630BIJ,1,1,엔토발주100밀리그람(펜토바르비탈나트륨)_(0.1g/2mL),pentobarbital sodium
112,211701ATB,1,1,하나페노바르비탈정_(30mg/1정),phenobarbital
112,211830BIJ,1,1,제일페노바르비탈주사액(페노바르비탈나트륨)_(0.1g/1mL),phenobarbital sodium
112,243501ATB,2,2,트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),triazolam
112,243502ATB,2,2,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),triazolam
112,250501ATB,10,10,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),zolpidem tartrate
112,250502ATB,3,3,졸피신정5mg(졸피뎀타르타르산염)_(5mg/1정),zolpidem tartrate
112,250503ATR,1,1,스틸녹스CR정6.25밀리그램(졸피뎀타르타르산염)_(6.25mg/1정),zolpidem tartrate
112,250504ATR,1,1,스틸녹스CR정12.5밀리그램(졸피뎀타르타르산염)_(12.5mg/1정),zolpidem tartrate
112,680401ATB,3,3,영진조피클론정1밀리그램(에스조피클론)_(1mg/1정),eszopiclone
112,680402ATB,3,3,영진조피클론정2밀리그램(에스조피클론)_(2mg/1정),eszopiclone
112,680403ATB,3,3,영진조피클론정3밀리그램(에스조피클론)_(3mg/1정),eszopiclone
112,717401ACH,1,1,잘레딥캡슐5밀리그램(잘레플론)_(5mg/1캡슐),zaleplon
112,717402ACH,1,1,잘레딥캡슐10밀리그램(잘레플론)_(10mg/1캡슐),zaleplon
113,123102ATB,2,2,카마제핀정(카르바마제핀)_(0.2g/1정),carbamazepine
113,123102ATR,5,5,아트레톨씨알정(카르바마제핀)_(0.2g/1정),carbamazepine
113,123104ATR,2,2,부광티모닐서방정300밀리그램(카르바마제핀)_(0.3g/1정),carbamazepine
113,123130ASY,1,1,테그레톨시럽2%(카르바마제핀)_(2g/100mL),carbamazepine
113,136401ATB,2,2,환인클로나제팜정0.5밀리그램_(0.5mg/1정),clonazepam
113,146801ACH,1,1,부광페니토인캡슐100밀리그램_(0.1g/1캡슐),diphenylhydantoin sodium
113,146801ATB,2,2,명인페니토인100밀리그람정_(0.1g/1정),diphenylhydantoin sodium
113,146830BIJ,1,1,삼진페니토인나트륨주사100밀리그램_(0.1g/2mL),phenytoin sodium
113,147701ATR,2,2,디발프로서방정250밀리그램(디발프로엑스나트륨)_(0.26905g/1정),divalproex sodium (as divalproex)
