제품코드,ATC코드,ATC코드 명칭
645302132,N05CC01,chloral hydrate
645302133,N05CC01,chloral hydrate
645302135,N05CC01,chloral hydrate
651904420,N05CM,Other hypnotics and sedatives
640006660,N05CM,Other hypnotics and sedatives
653006890,N05CM,Other hypnotics and sedatives
651904430,N05CM,Other hypnotics and sedatives
640006770,N05CM,Other hypnotics and sedatives
653006900,N05CM,Other hypnotics and sedatives
651900330,N05CD03,flunitrazepam
657200130,N05CD03,flunitrazepam
642800250,N05CD01,flurazepam
657802870,N03AA02,phenobarbital
657202920,N05CD05,triazolam
651901770,N05CD05,triazolam
651901780,N05CD05,triazolam
657200830,N05CD05,triazolam
651901790,N05CF02,zolpidem
649806810,N05CF02,zolpidem
657200670,N05CF02,zolpidem
653003460,N05CF02,zolpidem
668100180,N05CF02,zolpidem
652100640,N05CF02,zolpidem
642801200,N05CF02,zolpidem
643502320,N05CF02,zolpidem
649507420,N05CF02,zolpidem
651904470,N05CF02,zolpidem
643507160,N05CF02,zolpidem
649507410,N05CF02,zolpidem
652100660,N05CF02,zolpidem
652100650,N05CF02,zolpidem
642404880,N05CF04,eszopiclone
651904900,N05CF04,eszopiclone
670608170,N05CF04,eszopiclone
642404890,N05CF04,eszopiclone
651904910,N05CF04,eszopiclone
670608180,N05CF04,eszopiclone
642404900,N05CF04,eszopiclone
651904920,N05CF04,eszopiclone
670608190,N05CF04,eszopiclone
642204620,N05CF03,zaleplon
642204630,N05CF03,zaleplon
653601111,N03AF01,carbamazepine
651901860,N03AF01,carbamazepine
653601130,N03AF01,carbamazepine
653001520,N03AF01,carbamazepine
657200530,N03AF01,carbamazepine
649802760,N03AF01,carbamazepine
651901840,N03AF01,carbamazepine
653601120,N03AF01,carbamazepine
642201050,N03AF01,carbamazepine
651901850,N03AF01,carbamazepine
657202690,N03AE01,clonazepam
643308800,N03AE01,clonazepam
642201070,N03AB02,phenytoin
651900910,N03AB02,phenytoin
657201120,N03AB02,phenytoin
653006930,N03AG01,valproic acid
644200080,N03AG01,valproic acid
653006910,N03AG01,valproic acid
644200090,N03AG01,valproic acid
644200100,N03AG01,valproic acid
661904040,N03AD01,ethosuximide
647800210,N02BF01,gabapentin
656702070,N02BF01,gabapentin
652601470,N02BF01,gabapentin
646004290,N02BF01,gabapentin
643300030,N02BF01,gabapentin
642003570,N02BF01,gabapentin
678600850,N02BF01,gabapentin
671706140,N02BF01,gabapentin
677100500,N02BF01,gabapentin
644603330,N02BF01,gabapentin
645208810,N02BF01,gabapentin
625201160,N02BF01,gabapentin
661604560,N02BF01,gabapentin
621802910,N02BF01,gabapentin
647204990,N02BF01,gabapentin
669502310,N02BF01,gabapentin
669805100,N02BF01,gabapentin
647303620,N02BF01,gabapentin
649104240,N02BF01,gabapentin
628901170,N02BF01,gabapentin
665507070,N02BF01,gabapentin
629701550,N02BF01,gabapentin
55101140,N02BF01,gabapentin
669907460,N02BF01,gabapentin
658107490,N02BF01,gabapentin
58200440,N02BF01,gabapentin
648604030,N02BF01,gabapentin
641907530,N02BF01,gabapentin
674402090,N02BF01,gabapentin
679601320,N02BF01,gabapentin
54800950,N02BF01,gabapentin
660703470,N02BF01,gabapentin
622804270,N02BF01,gabapentin
657503660,N02BF01,gabapentin
670502180,N02BF01,gabapentin
60500300,N02BF01,gabapentin
73000930,N02BF01,gabapentin
59001210,N02BF01,gabapentin
643700900,N02BF01,gabapentin
642900470,N02BF01,gabapentin
642800030,N02BF01,gabapentin
73400450,N02BF01,gabapentin
642500370,N02BF01,gabapentin
657200060,N02BF01,gabapentin
643500010,N02BF01,gabapentin
653002670,N02BF01,gabapentin
656003910,N02BF01,gabapentin
694000960,N02BF01,gabapentin
657800080,N02BF01,gabapentin
693902110,N02BF01,gabapentin
670100070,N02BF01,gabapentin
656204520,N02BF01,gabapentin
649502220,N02BF01,gabapentin
670301470,N02BF01,gabapentin
651300660,N02BF01,gabapentin
652904160,N02BF01,gabapentin
658604190,N02BF01,gabapentin
657300010,N02BF01,gabapentin
642003590,N02BF01,gabapentin
656700140,N02BF01,gabapentin
658200090,N02BF01,gabapentin
678600860,N02BF01,gabapentin
671706150,N02BF01,gabapentin
621801130,N02BF01,gabapentin
644801930,N02BF01,gabapentin
648602860,N02BF01,gabapentin
649102080,N02BF01,gabapentin
644603290,N02BF01,gabapentin
693201330,N02BF01,gabapentin
625800340,N02BF01,gabapentin
645604580,N02BF01,gabapentin
625200390,N02BF01,gabapentin
649601090,N02BF01,gabapentin
674400660,N02BF01,gabapentin
661604550,N02BF01,gabapentin
661904150,N02BF01,gabapentin
647205000,N02BF01,gabapentin
669502300,N02BF01,gabapentin
628901080,N02BF01,gabapentin
647303610,N02BF01,gabapentin
665507080,N02BF01,gabapentin
629701540,N02BF01,gabapentin
693902960,N02BF01,gabapentin
55101160,N02BF01,gabapentin
669907470,N02BF01,gabapentin
628801490,N02BF01,gabapentin
658107500,N02BF01,gabapentin
58200470,N02BF01,gabapentin
698504040,N02BF01,gabapentin
641907520,N02BF01,gabapentin
679601310,N02BF01,gabapentin
54800960,N02BF01,gabapentin
660703460,N02BF01,gabapentin
622804260,N02BF01,gabapentin
670502190,N02BF01,gabapentin
60500310,N02BF01,gabapentin
655404340,N02BF01,gabapentin
73000940,N02BF01,gabapentin
59001220,N02BF01,gabapentin
646800020,N02BF01,gabapentin
656204530,N02BF01,gabapentin
651900030,N02BF01,gabapentin
73400430,N02BF01,gabapentin
653002660,N02BF01,gabapentin
642800040,N02BF01,gabapentin
642500360,N02BF01,gabapentin
657200070,N02BF01,gabapentin
647800200,N02BF01,gabapentin
642900480,N02BF01,gabapentin
643500020,N02BF01,gabapentin
652601460,N02BF01,gabapentin
646000120,N02BF01,gabapentin
648500010,N02BF01,gabapentin
670100060,N02BF01,gabapentin
