제품코드,제품명,업체명
645302132,포크랄시럽(포수클로랄)_(9.5g/95mL),한림제약(주)
645302135,포크랄시럽(포수클로랄)_(0.5g/5mL),한림제약(주)
651904420,명세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),명인제약(주)
640006660,사일레노정3밀리그램(독세핀염산염)_(3.39mg/1정),에이치케이이노엔(주)
653006890,파마독세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),(주)한국파마
651904430,명세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),명인제약(주)
640006770,사일레노정6밀리그램(독세핀염산염)_(6.78mg/1정),에이치케이이노엔(주)
653006900,파마독세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),(주)한국파마
651900330,루나팜정(플루니트라제팜)_(1mg/1정),명인제약(주)
657200130,라제팜정(플루니트라제팜)_(1mg/1정),환인제약(주)
642800250,달마돔정(플루라제팜염산염)_(15mg/1정),고려제약(주)
657802870,하나페노바르비탈정_(30mg/1정),하나제약(주)
657202920,트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),환인제약(주)
651901770,졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),명인제약(주)
651901780,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),명인제약(주)
657200830,트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),환인제약(주)
651901790,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),명인제약(주)
649806810,스틸렉스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),명문제약(주)
657200670,졸피람정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),환인제약(주)
653003460,파마주석산졸피뎀정(졸피뎀타르타르산염)_(10mg/1정),(주)한국파마
643903920,산도스졸피뎀정10mg(주석산졸피뎀)_(10mg/1정),삼일제약(주)
652100640,스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),(주)한독
642801200,졸피움정(졸피뎀타르타르산염)_(10mg/1정),고려제약(주)
643502320,졸피드정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),한미약품(주)
649507420,스립정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),유니메드제약(주)
657808310,졸피원정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),하나제약(주)
651904470,졸피신정5mg(졸피뎀타르타르산염)_(5mg/1정),명인제약(주)
643507160,졸피드정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),한미약품(주)
649507410,스립정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),유니메드제약(주)
652100660,스틸녹스CR정6.25밀리그램(졸피뎀타르타르산염)_(6.25mg/1정),(주)한독
652100650,스틸녹스CR정12.5밀리그램(졸피뎀타르타르산염)_(12.5mg/1정),(주)한독
642404880,영진조피클론정1밀리그램(에스조피클론)_(1mg/1정),영진약품(주)
651904900,조스정1밀리그램(에스조피클론)_(1mg/1정),명인제약(주)
670608170,조피스타정1밀리그램(에스조피클론)_(1mg/1정),(주)휴온스
642404890,영진조피클론정2밀리그램(에스조피클론)_(2mg/1정),영진약품(주)
651904910,조스정2밀리그램(에스조피클론)_(2mg/1정),명인제약(주)
670608180,조피스타정2밀리그램(에스조피클론)_(2mg/1정),(주)휴온스
642404900,영진조피클론정3밀리그램(에스조피클론)_(3mg/1정),영진약품(주)
651904920,조스정3밀리그램(에스조피클론)_(3mg/1정),명인제약(주)
670608190,조피스타정3밀리그램(에스조피클론)_(3mg/1정),(주)휴온스
642204620,잘레딥캡슐5밀리그램(잘레플론)_(5mg/1캡슐),부광약품(주)
642204630,잘레딥캡슐10밀리그램(잘레플론)_(10mg/1캡슐),부광약품(주)
653601111,테그레톨시럽2%(카르바마제핀)_(2g/100mL),한국노바티스(주)
651901860,카마제핀정(카르바마제핀)_(0.2g/1정),명인제약(주)
653601130,테그레톨정200밀리그램(카르바마제핀)_(0.2g/1정),한국노바티스(주)
653001520,아트레톨씨알정(카르바마제핀)_(0.2g/1정),(주)한국파마
657200530,에필렙톨씨알정(카르바마제핀)_(0.2g/1정),환인제약(주)
649802760,카르마인씨알정(카르바마제핀)_(0.2g/1정),명문제약(주)
651901840,카마제핀씨알정200밀리그람(카르바마제핀)_(0.2g/1정),명인제약(주)
653601120,테그레톨씨알정200밀리그램(카르바마제핀)_(0.2g/1정),한국노바티스(주)
642201050,부광티모닐서방정300밀리그램(카르바마제핀)_(0.3g/1정),부광약품(주)
651901850,카마제핀씨알정300밀리그람(카르바마제핀)_(0.3g/1정),명인제약(주)
657202690,환인클로나제팜정0.5밀리그램_(0.5mg/1정),환인제약(주)
643308800,리보트릴정(클로나제팜)_(0.5mg/1정),(주)종근당
642201070,부광페니토인캡슐100밀리그램_(0.1g/1캡슐),부광약품(주)
651900910,명인페니토인100밀리그람정_(0.1g/1정),명인제약(주)
657201120,환인히단토인정(페니토인)_(0.1g/1정),환인제약(주)
653006930,디발프로서방정250밀리그램(디발프로엑스나트륨)_(0.26905g/1정),(주)한국파마
644200080,데파코트서방정250mg(디발프로엑스나트륨)_(0.2691g/1정),한국애보트(주)
653006910,디발프로서방정500밀리그램(디발프로엑스나트륨)_(0.5381g/1정),(주)한국파마
644200090,데파코트서방정500㎎(디발프로엑스나트륨)_(0.5381g/1정),한국애보트(주)
644200100,데파코트스프링클캅셀(디발프로엑스나트륨입자)_(0.2263g/1캡슐),한국애보트(주)
661904040,자론티연질캡슐(에토숙시미드)_(0.25g/1캡슐),영풍제약(주)
647800210,뉴로카바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),삼진제약(주)
656702070,넬슨가바펜틴캡슐100밀리그램_(0.1g/1캡슐),한국넬슨제약(주)
652601470,펜다운캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),알보젠코리아(주)
646004290,뉴로닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)메디카코리아
643300030,가바렙캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),(주)종근당
642003570,현대가바펜틴캡슐100밀리그램_(0.1g/1캡슐),현대약품(주)
678600850,가바티론캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)다산제약
671706140,카나가바로틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),주식회사제뉴원사이언스
677100500,펜믹스가바펜틴캡슐100밀리그램_(0.1g/1캡슐),(주)펜믹스
644603330,가바인캡슐100mg(가바펜틴)_(0.1g/1캡슐),조아제약(주)
645208810,가베틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)에이프로젠바이오로직스
625201160,뉴펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)화이트생명과학
661604560,알피가바펜틴캡슐100mg_(0.1g/1캡슐),(주)알피바이오
647204990,가비스타캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한국코러스(주)
669502310,씨티가바캡슐100mg(가바펜틴)_(0.1g/1캡슐),(주)씨티씨바이오
669805100,가바랩캡슐100mg(가바펜틴)_(0.1g/1캡슐),구주제약(주)
647303620,씨트펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),에이치엘비제약(주)
649104240,가바스틸캡슐100mg(가바펜틴)_(0.1g/1캡슐),한국휴텍스제약(주)
628901170,이로바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)이든파마
665507070,유니펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한국유니온제약(주)
629701550,오스가바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)오스코리아제약
