substance_code,preferred_label_ko,preferred_label_en,atc_codes,representative_label
526030BIJ,"1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔",hyaluronic acid,M09AX01,"1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔"
482501BIJ,2-데옥시-2-플루오로-D-글루코스(18F,nan,V09IX04,2-데옥시-2-플루오로-D-글루코스(18F
425100CDS,23.04㎠(프리롤드,"fibrinogen, human",B02BB01,23.04㎠(프리롤드
448801BIJ,"3,3-디포스포노-1,2-프로판디카르복실산나트륨",SKELETON,V09B,"3,3-디포스포노-1,2-프로판디카르복실산나트륨"
430401BIJ,3-요오도벤질구아니딘(123Ⅰ액,Iodine (123I) compounds,V09AB,3-요오도벤질구아니딘(123Ⅰ액
472703BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,3-요오도벤질구아니딘(131I
472705BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,3-요오도벤질구아니딘(131I
472706BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,3-요오도벤질구아니딘(131I
472707BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,3-요오도벤질구아니딘(131I
472708BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,3-요오도벤질구아니딘(131I
472709BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,3-요오도벤질구아니딘(131I
194801CDS,7X3.5㎠/1개,collagen,B02BC07,7X3.5㎠/1개
593401ACH,E.coli strain Nissle 1917의 동결건조물,INTESTINAL ANTIINFLAMMATORY AGENTS,A07E,E.coli strain Nissle 1917의 동결건조물
110530BIJ,L-아스파르트산-L-오르니틴,ornithine oxoglurate,A05BA06,L-아스파르트산-L-오르니틴
110531BIJ,L-아스파르트산-L-오르니틴,ornithine oxoglurate,A05BA06,L-아스파르트산-L-오르니틴
205002ACM,L-아스파르트산-L-오르니틴,ornithine oxoglurate,A05BA06,L-아스파르트산-L-오르니틴
205002APD,L-아스파르트산-L-오르니틴,ornithine oxoglurate,A05BA06,L-아스파르트산-L-오르니틴
124535ALQ,L-카르니틴,levocarnitine,A16AA01,L-카르니틴
124536ALQ,L-카르니틴,nan,,L-카르니틴
124537ALQ,L-카르니틴,nan,,L-카르니틴
123801ACH,L-카르보시스테인,carbocisteine,R05CB03,L-카르보시스테인
123804ACH,L-카르보시스테인,carbocisteine,R05CB03,L-카르보시스테인
123840ASY,L-카르보시스테인,carbocisteine,R05CB03,L-카르보시스테인
123841ASY,L-카르보시스테인,carbocisteine,R05CB03,L-카르보시스테인
123844ASY,L-카르보시스테인,carbocisteine,R05CB03,L-카르보시스테인
379601ATE,S-아데노실-L-메티오닌황산토실산염,Other antidepressants,N06AX,S-아데노실-L-메티오닌황산토실산염
565601BIJ,가니렐릭스아세트산염,nan,H01CC01,가니렐릭스아세트산염
466831BIJ,가도베네이트디메글루민,gadobenic acid,V08CA08,가도베네이트디메글루민
471630BIJ,가도부트롤,gadobutrol,V08CA09,가도부트롤
471632BIJ,가도부트롤,gadobutrol,V08CA09,가도부트롤
471633BIJ,가도부트롤,gadobutrol,V08CA09,가도부트롤
471634BIJ,가도부트롤,gadobutrol,V08CA09,가도부트롤
471631BIJ,가도부트롤,nan,V08CA09,가도부트롤
466431BIJ,가도테레이트메글루민액,gadoteric acid,V08CA02,가도테레이트메글루민액
466433BIJ,가도테레이트메글루민액,gadoteric acid,V08CA02,가도테레이트메글루민액
466430BIJ,가도테레이트메글루민액,nan,V08CA02,가도테레이트메글루민액
466432BIJ,가도테레이트메글루민액,nan,V08CA02,가도테레이트메글루민액
