class3_code,substance_code
110,699601BIJ
111,141330CLQ
111,157030BIJ
111,178030CLQ
111,179530BIJ
111,179531BIJ
111,179532BIJ
111,179533BIJ
111,219830BIJ
111,219831BIJ
111,219833BIJ
111,219834BIJ
111,219835BIJ
111,219836BIJ
111,219838BIJ
111,227330CLQ
111,482201BIJ
111,482202BIJ
111,572801CSI
112,130830ASY
112,130833ASY
112,149203ATB
112,149204ATB
112,160601ATB
112,161801ATB
112,195230BIJ
112,195231BIJ
112,195232BIJ
112,210630BIJ
112,211701ATB
112,211830BIJ
112,243501ATB
112,243502ATB
112,250501ATB
112,250502ATB
112,250503ATR
112,250504ATR
112,680401ATB
112,680402ATB
112,680403ATB
112,717401ACH
112,717402ACH
113,123102ATB
113,123102ATR
113,123104ATR
113,123130ASY
113,136401ATB
113,146801ACH
113,146801ATB
113,146830BIJ
113,147701ATR
113,147702ATR
113,147801ACH
113,155901ACS
113,164201ACH
113,164202ACH
113,164203ACH
113,164204ATB
113,164205ATB
113,181001ATB
113,181002ATB
113,181003ATB
113,181004ATB
113,206301ATB
113,206302ATB
113,206303ATB
113,206330ASS
113,217801ATB
113,229701ATR
113,229703ATB
113,229704BIJ
113,229705ATR
113,229706ATR
113,229707ATR
113,229730BIJ
113,229731BIJ
113,229734ASY
113,241801ACR
113,241801ATB
113,241802ACR
113,241803ACH
113,241803ACR
113,241803ATB
113,241804ACH
113,241804ACR
113,241804ATB
113,246901ATE
113,246902ATE
113,246903ATE
113,247701ATB
113,250601ATB
113,483701ATB
113,488501ATB
113,488501ATR
113,488501BIJ
113,488502ATB
113,488503ATB
113,488505ATB
113,488505ATR
113,488530ALQ
113,488534BIJ
113,488536ALQ
113,488537ALQ
113,509101ACH
113,509330BIJ
113,509331BIJ
113,509401ATB
113,509402ATB
113,509403ATB
113,611702ATB
113,611703ATB
113,611704ATB
113,611705ATB
113,642401ATB
113,642402ATB
113,642403ATB
113,642404ATB
113,642405ATB
113,642406ATB
113,642407ASS
113,692701ALQ
113,700901ATB
113,700902ATB
114,100901ACH
114,100901ACS
114,100901ATB
114,100903ATR
114,101303ATB
114,101305ATB
114,101330ASS
114,101332ASY
114,101401ATB
114,101404ATB
114,101404ATR
114,101406ATB
114,101430ATR
114,110702ATB
114,121130BIJ
114,121131BIJ
114,142301ACS
114,142301ATB
114,142301ATR
114,142302ATB
114,142303ATB
114,142331ASY
114,142332ASY
114,142334ASY
114,143504ATB
114,143506ATB
114,143535BIJ
114,143631BIJ
114,156602ACH
114,156602ATB
114,156603ATB
114,156603ATR
114,156604ATR
114,171530BIJ
114,171531BIJ
114,172802ACS
114,172802ATB
114,172806ATB
114,172807ATR
114,172833ASY
114,172834ASY
114,172835ASY
114,172836ASY
114,172837ASY
114,172838ASY
114,179731BIJ
114,180001ATB
114,180033BIJ
114,186101ATB
114,186102ATR
114,189701ACH
114,189701ATB
114,189701ATD
114,189702ACH
114,189702ATD
114,192132BIJ
114,192134BIJ
114,192136BIJ
114,192144BIJ
114,198102ATB
114,198930BIJ
114,199401ATR
114,199404ATB
114,199501ATB
114,201801ATB
114,214001ACH
114,214001ATB
114,214004ACH
114,214004ATB
114,214031BIJ
114,214130BIJ
114,214202ATB
114,218602ATB
114,219401BIJ
114,233802ATB
114,233803ATB
114,234401ATB
114,242301ATR
114,242302ATR
114,242304ATR
114,242305ACH
114,242305ATB
114,242308ATR
114,242330BIJ
114,242331BIJ
114,249901ATB
114,251800ATB
114,347701ACH
114,347701ATB
114,347702ACH
114,347702ATB
114,347703ACH
114,348201ATB
114,415501ATB
114,415501ATD
114,415601ATB
114,416601ATB
114,454330BIJ
114,458402ATB
114,480600ATB
114,493401ATB
114,493402ATR
114,499401ATB
114,509501ATB
114,513000ATB
114,513000ATR
114,514100ATR
114,516701ATB
114,518000ATB
114,523500ATB
114,527400ATB
114,618201ATB
114,636401ACH
114,636401ATB
114,636901ATB
114,697701ATB
114,713200ATR
114,724600ATB
114,725300ATB
115,193201ACR
115,193201ATB
115,193202ACR
115,193202ATB
115,193203ATR
115,193204ATR
115,193205ACR
115,193206ATR
115,193207ACR
115,193208ACR
115,193209ATR
116,116301ATB
116,550602ATB
116,550603ATB
117,105501ATB
117,105502ATB
117,105504ATB
117,105505ATB
117,105507ATB
117,107501ATB
117,107502ATB
117,107504ATB
117,118501ATB
117,120501ATB
117,120502ATB
117,120503ATB
117,131201ATB
117,131202ATB
117,131901ATB
117,131905ATB
117,131908ATB
117,135702ATB
117,136301ACH
117,136302ACH
117,137501ATB
117,137502ATB
117,137503ATB
117,137504ATB
117,142901ATB
117,142902ATB
117,142903ATB
117,142930BIJ
117,156201ATB
117,156202ATB
117,156501ATB
117,156502ATB
117,156503ATB
117,161501ACH
117,161501ATB
117,161502ACH
117,161502ATB
117,161502ATD
117,167903ATB
117,167904ATB
117,167905ATB
117,167906ATB
117,167908ATB
117,167930BIJ
117,168030BIJ
117,172101ATB
117,172130ASY
117,173701ATB
117,183301ATB
117,183302ATB
117,183303ATB
117,184701ATB
117,184702ATB
117,185501ATB
117,185504ATB
117,185530BIJ
117,185531BIJ
117,196201ATB
117,196201ATD
117,196202ATB
117,196202ATD
117,196203ATB
117,196204ATB
117,196204ATD
117,203401ATB
117,203402ATB
117,204001ATB
117,204001ATD
117,204002ATB
117,204002ATD
117,204004ATB
117,204005ATB
117,209301ATB
117,209302ATB
117,209304ATR
117,209305ATR
117,211401ATB
117,212402ATB
117,224201ATB
117,224201ATD
117,224202ATB
117,224202ATD
117,224203ATB
117,224204ATB
117,227001ATB
117,227002ATB
117,227003ATB
117,229601ATB
117,233401ATB
117,242901ACH
117,242901ATB
117,242902ATB
117,242903ATR
117,247502ACR
117,247504ACR
117,250801ATB
117,250802ATB
117,250803ATB
117,255800ATB
117,355801ACH
117,355802ACH
117,355803ACH
117,378601ATB
117,378602ATB
117,378603ATB
117,378604ATB
117,378605ATB
117,378605ATR
117,378606ATR
117,378607ATR
117,378608ATR
117,378609ATR
117,378610ATB
117,420002ATB
117,420003ATB
117,420004ATB
117,428101ATB
117,428102ATR
117,428103ATR
117,451501ATB
117,451501ATD
117,451502ATB
117,451502ATD
117,451503ATB
117,451504ATB
117,451505ATB
117,451506BIJ
117,451507BIJ
117,451508ATB
117,451509BIJ
117,464901ACH
117,464902ACH
117,464903ACH
117,464904ACH
117,474801ATB
117,474801ATD
117,474802ATB
117,474802ATD
117,474803ATB
117,474803ATD
117,474804ATB
117,495501ACE
117,495502ACE
117,503201ATR
117,503202ATR
117,503203ATR
117,511301ATB
117,511302ATB
117,511303ATB
117,586430BIJ
117,586431BIJ
117,586432BIJ
117,586433BIJ
117,586434BIJ
117,586435BIJ
117,586436BIJ
117,586437BIJ
117,586438BIJ
117,586439BIJ
117,586440BIJ
117,613101ATB
117,626401ATR
117,626402ATR
117,628501ATB
117,628502ATB
117,628504ATB
117,687601ATR
117,687602ATR
117,687603ATR
117,687701ATR
117,687702ATR
117,687703ATR
117,729801ATB
117,729802ATB
117,729803ATB
117,729804ATB
117,729805ATB
119,100501ATE
119,104101ATB
119,106201ATB
119,106230BIJ
119,116001ATB
119,116002ATB
119,134801ATB
119,136505ATR
119,138101ACH
119,138101ACS
119,138101APD
119,138101ATB
119,138103ASY
119,138104ASY
119,138130BIJ
119,148601APD
119,148601ATB
119,148601ATD
119,148602APD
119,148602ATB
119,148602ATD
119,148603ATB
119,148604ATB
119,148630ALQ
119,148631ALQ
119,164202ATR
119,164204ATR
119,172601ATB
119,175731BIJ
119,190001ATB
119,190003ATD
119,190004ATB
119,190004ATD
119,190005ATB
119,190006ATD
119,190031ALQ
119,205303ATB
119,218401ATB
119,224001ATB
119,224030ASS
119,224501ACH
119,224503ACH
119,224504ACH
119,224505ACH
119,224506CPC
119,224507CPC
119,224508CPC
119,224901ATB
119,224902ATB
119,224902ATR
119,224903ATB
119,224904ATB
119,224905ATR
119,224906ATR
119,226401ATB
119,244201ATB
119,256000ACR
119,256000ATB
119,256000ATD
