canonical_id,substance_code,preferred_label_ko,preferred_label_en,atc_codes,synonyms,synonym_count
SUB:526030BIJ,526030BIJ,"1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔",hyaluronic acid,M09AX01,"1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔 | 1,4-부탄디올디글리시딜에테르로가교된히알루론산나트륨겔 | BDDE가교히알루론산나트륨겔 | bdde가교히알루론산나트륨겔 | hyaluronic acid | hyaluronicacid | 시노비안주(BDDE가교히알루론산나트륨겔)_(3g/3mL) | 시노비안주(bdde가교히알루론산나트륨겔)_(3g/3ml) | 하이알 원샷주(1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔)_(3.03g/3mL) | 하이알 원샷주(1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔)_(3.03g/3ml) | 하이알원샷주(1,4-부탄디올디글리시딜에테르로가교된히알루론산나트륨겔)_(3.03g/3mL) | 하이히알원스주(1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔)_(3.03g/3mL) | 하이히알원스주(1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔)_(3.03g/3ml) | 하이히알원스주(1,4-부탄디올디글리시딜에테르로가교된히알루론산나트륨겔)_(3.03g/3mL)",14
SUB:482501BIJ,482501BIJ,2-데옥시-2-플루오로-D-글루코스(18F,nan,V09IX04,2-데옥시-2-플루오로-D-글루코스(18F | 2-데옥시-2-플루오로-d-글루코스(18f | 2-데옥시-2플루오로-D-글루코스(18F | 2-데옥시-2플루오로-d-글루코스(18f | fludeoxyglucose (18F) | fludeoxyglucose (18f) | fludeoxyglucose(18F) | nan | 국립암센터에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)주사액) | 국립암센터에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)주사액) | 뉴큐어엠에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 뉴큐어엠에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 듀켐바이오에프디지-20(2-데옥시-2플루오로-D-글루코스(18F)주사액) | 듀켐바이오에프디지-20(2-데옥시-2플루오로-d-글루코스(18f)주사액) | 듀켐바이오에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 듀켐바이오에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 듀켐바이오에프디지프리필드실린지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 듀켐바이오에프디지프리필드실린지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 메타트레이스에프디지-10(2-데옥시-2-플루오로-D-글루코스(18F))액 | 메타트레이스에프디지-10(2-데옥시-2-플루오로-d-글루코스(18f))액 | 삼성서울병원에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 삼성서울병원에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 서울대학교병원에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 서울대학교병원에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 서울아산병원2-데옥시-2-플로오로-D-글루코스(18F)주사액 | 서울아산병원2-데옥시-2-플로오로-d-글루코스(18f)주사액 | 연세의료원에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 연세의료원에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 전남대학교병원에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 전남대학교병원에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 제주대학교병원에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 제주대학교병원에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 카이바이오텍에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 카이바이오텍에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 퓨쳐켐에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 퓨쳐켐에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 한국원자력의학원플루데옥시글루코스18F주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 한국원자력의학원플루데옥시글루코스18f주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 한라의료재단에프디지주사액(2-데옥시-2플루오로-D-글루코스(18F)) | 한라의료재단에프디지주사액(2-데옥시-2플루오로-d-글루코스(18f)) | 해동에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 해동에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액) | 화순전남대학교병원에프디지주사액(2-데옥시-2-플루오로-D-글루코스(18F)액) | 화순전남대학교병원에프디지주사액(2-데옥시-2-플루오로-d-글루코스(18f)액),44
SUB:425100CDS,425100CDS,23.04㎠(프리롤드,"fibrinogen, human",B02BB01,"23.04㎠(프리롤드 | fibrinogen, human | fibrinogen,human | 타코실_(23.04㎠(프리롤드)/1매) | 타코실_(23.04㎠/1매)",5
SUB:448801BIJ,448801BIJ,"3,3-디포스포노-1,2-프로판디카르복실산나트륨",SKELETON,V09B,"3,3-디포스포노-1,2-프로판디카르복실산나트륨 | SKELETON | skeleton | 테세오스주(3,3-디포스포노-1,2-프로판디카르복실산나트륨)_(13mg/1병)",4
SUB:430401BIJ,430401BIJ,3-요오도벤질구아니딘(123Ⅰ액,Iodine (123I) compounds,V09AB,3-요오도벤질구아니딘(123Ⅰ액 | Iodine (123I) compounds | Iodine(123I)compounds | iodine (123i) compounds | 한국원자력의학원메타요오드벤질구아니딘123Ⅰ주사액(3-요오도벤질구아니딘(123Ⅰ액)),5
SUB:472703BIJ,472703BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,"3-요오도벤질구아니딘(131I | 3-요오도벤질구아니딘(131i | iobenguane (131I) | iobenguane (131i) | iobenguane(131I) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I), 3704MBq(100mCi)/1병) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I),3704MBq(100mCi)/1병) | 캐리엠아이비지(131i)주사액_(3-요오도벤질구아니딘(131i), 3704mbq(100mci)/1병)",8
SUB:472705BIJ,472705BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,"3-요오도벤질구아니딘(131I | 3-요오도벤질구아니딘(131i | iobenguane (131I) | iobenguane (131i) | iobenguane(131I) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I), 1852MBq(50mCi)/1병) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I),1852MBq(50mCi)/1병) | 캐리엠아이비지(131i)주사액_(3-요오도벤질구아니딘(131i), 1852mbq(50mci)/1병)",8
SUB:472706BIJ,472706BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,"3-요오도벤질구아니딘(131I | 3-요오도벤질구아니딘(131i | iobenguane (131I) | iobenguane (131i) | iobenguane(131I) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I), 7406MBq(200mCi)/1병) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I),7406MBq(200mCi)/1병) | 캐리엠아이비지(131i)주사액_(3-요오도벤질구아니딘(131i), 7406mbq(200mci)/1병)",8
SUB:472707BIJ,472707BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,"3-요오도벤질구아니딘(131I | 3-요오도벤질구아니딘(131i | iobenguane (131I) | iobenguane (131i) | iobenguane(131I) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I), 1110MBq(30mCi)/1병) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I),1110MBq(30mCi)/1병) | 캐리엠아이비지(131i)주사액_(3-요오도벤질구아니딘(131i), 1110mbq(30mci)/1병)",8
SUB:472708BIJ,472708BIJ,3-요오도벤질구아니딘(131I,iobenguane (131I),V09IX02,"3-요오도벤질구아니딘(131I | 3-요오도벤질구아니딘(131i | iobenguane (131I) | iobenguane (131i) | iobenguane(131I) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I), 5556MBq(150mCi)/1병) | 캐리엠아이비지(131I)주사액_(3-요오도벤질구아니딘(131I),5556MBq(150mCi)/1병) | 캐리엠아이비지(131i)주사액_(3-요오도벤질구아니딘(131i), 5556mbq(150mci)/1병)",8
